"source_artifact_name"	"artifact_category"	"source_size"	"source_checksum"	"publication_action"	"exclusion_reason"	"published_relative_path"	"published_checksum"
"run/profiles/dependency_profiles.jsonl"	"raw_or_redistributable"	"15270877"	"7f924bae2631955f43102d132b77caa394d6dd3644758fb3ea797df025053a1c"	"excluded"	"raw or redistributable DepMap source data"	""	""
"run/profiles/model_context_index.tsv"	"closure_artifact"	"362242"	"9629d34787e10209d587568c401eded6aac3c2be1f5311520243723b162f1de8"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/release_closure_manifest.json"	"closure_artifact"	"425"	"d591c6ca1b557292eb701a7bee2e6bc59d41d3c4f104fb7bdc2696b43cb09d0e"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/release_criteria.tsv"	"closure_artifact"	"1143"	"40f7f0ef332e5002709180ceb1b6118828ed87419fa3343da5bc53c8c70a4148"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/release_preflight.json"	"closure_artifact"	"1482"	"80d6e451afd810e1dcf241bd2b59ace4fd91539af3e39a160b0415422a55500b"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/release_readiness.json"	"closure_artifact"	"3102"	"42343990be9f6596c1b1ba7673d9e7da0100a4703dd51c9cbe7dc6141f37d22c"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/release_report.md"	"closure_artifact"	"211"	"d4d79fa24b4272794a67115102256544706f77a08c99c1093827634390f5565d"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/reproducibility_summary.json"	"closure_artifact"	"9550"	"9934bdf6c52ad9f78b18d932b0f867d8e7fc6837d230193de907f7f315c8b3a8"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/stage_manifest_index.json"	"closure_artifact"	"523"	"89c4436b57a440eab00576a29c0e81a1821f2a47723953c0e2b57f64b2f53d76"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/background_universe.tsv"	"closure_artifact"	"17223947"	"1e331d03c511976ef47c0cb6242f73d4a1f2ded5b357f7c7cd85f26c7e1240ef"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/benchmark_universe.tsv"	"closure_artifact"	"48228"	"4e7ba3da08576e0425a780c34e778cf95a63defebf336402bf87793f36d1c54b"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/discovery_universe.tsv"	"closure_artifact"	"314023"	"03f7a5c679f3692cce6d3d7fddcfcd93785e05509c090d16f144923dfdc6f698"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/leakage_audit.json"	"closure_artifact"	"184"	"ac224f7faf814bf2922e4a2d9008327f6fd5f48cfeadba811359585f1189f939"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/rejected_targets.tsv"	"closure_artifact"	"20"	"dca38b5f17374b26e8254a26a93220c25117a60ee9f8cbca75b042d8331ec3eb"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/universe_freeze_manifest.json"	"closure_artifact"	"1183"	"fd7591d7868d835f1e5a8ef0905a1f1229fded5c87dfefa527fddf1d0cbc6aa4"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/universe_overlap.json"	"closure_artifact"	"12430"	"ab285f225f506d9fdd9cf323db23501cd3170222df062afef51221605b422ce1"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/universes/unresolved_targets.tsv"	"closure_artifact"	"20"	"dca38b5f17374b26e8254a26a93220c25117a60ee9f8cbca75b042d8331ec3eb"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
